wavelength_nm,value
350.0,0.86402963
375.0,0.86622963
400.0,0.86826667
425.0,0.87014074
450.0,0.87185185
475.0,0.8734
500.0,0.87478519
525.0,0.87600741
550.0,0.87706667
575.0,0.87796296
600.0,0.8786963
625.0,0.87926667
650.0,0.87967407
675.0,0.87991852
700.0,0.88
725.0,0.87991852
750.0,0.87967407
775.0,0.87926667
800.0,0.8786963
825.0,0.87796296
850.0,0.87706667
875.0,0.87600741
900.0,0.87478519
925.0,0.8734
950.0,0.87185185
975.0,0.87014074
1000.0,0.86826667
1025.0,0.86622963
1050.0,0.86402963
1075.0,0.86166667
1100.0,0.85914074
