wavelength_nm,value
350.0,0.40429789
375.0,0.44024283
400.0,0.47821992
425.0,0.51775035
450.0,0.55824976
475.0,0.59903842
500.0,0.63935694
525.0,0.67838772
550.0,0.71528099
575.0,0.74918475
600.0,0.77927695
625.0,0.80479838
650.0,0.82508441
675.0,0.83959366
700.0,0.84793205
725.0,0.84987057
750.0,0.84535571
775.0,0.83451193
800.0,0.81763596
825.0,0.79518331
850.0,0.76774783
875.0,0.73603565
900.0,0.70083503
925.0,0.66298394
950.0,0.62333725
975.0,0.58273529
1000.0,0.54197524
1025.0,0.5017869
1050.0,0.46281344
1075.0,0.42559786
1100.0,0.39057527
