wavelength_nm,value
350.0,47.809144
375.0,46.188022
400.0,44.72136
425.0,43.386092
450.0,42.163702
475.0,41.039134
500.0,40
525.0,39.036003
550.0,38.138504
575.0,37.300192
600.0,36.514837
625.0,35.777088
650.0,35.082321
675.0,34.426519
700.0,33.80617
725.0,33.218192
750.0,32.659863
775.0,32.128773
800.0,31.622777
825.0,31.139958
850.0,30.6786
875.0,30.237158
900.0,29.81424
925.0,29.408585
950.0,29.01905
975.0,28.644595
1000.0,28.284271
1025.0,27.937212
1050.0,27.602622
1075.0,27.279774
1100.0,26.967994
