wavelength_nm,value
350.0,1.3022734e-05
375.0,1.2727378e-05
400.0,1.2494251e-05
425.0,1.2313494e-05
450.0,1.2177488e-05
475.0,1.2649595e-05
500.0,1.3176505e-05
525.0,1.3759762e-05
550.0,1.4401493e-05
575.0,1.5104362e-05
600.0,1.5871536e-05
625.0,1.6706682e-05
650.0,1.7613954e-05
675.0,1.9474506e-05
700.0,2.1561163e-05
725.0,2.3901888e-05
750.0,2.6528272e-05
775.0,3.3072614e-05
800.0,4.1274349e-05
825.0,5.1560399e-05
850.0,6.4469053e-05
875.0,8.0679308e-05
900.0,0.000101048
925.0,0.00012665679
950.0,0.00015887173
975.0,0.0001818719
1000.0,0.00020833883
1025.0,0.00023880662
1050.0,0.00027389299
1075.0,0.00026752339
1100.0,0.00026144331
