wavelength_nm,relative_intensity
791.588,33.26
834.690,68.74
840.149,51.0784
843.249,55.8
846.768,39.5
877.032,36.42
878.074,40.98
882.952,100.9
883.886,38.6415
888.829,73.28
892.208,82.8
896.054,60.4
900.382,32.94
931.581,63.14
932.629,53.98
937.853,129.36
938.928,50.9
944.224,93.12
946.112,37.24
947.946,108.05
952.197,81.14
956.996,46.26
970.200,63.58
972.250,81.6
979.380,220.4
980.236,76.24
985.119,50.1782
987.484,163.18
989.746,60.1729
991.739,168.58
994.437,43.94
994.803,55.144
994.924,69.3
995.933,99.16
996.466,108.24
1001.555,167.12
1002.820,67.72
1006.347,36.646
1008.523,119.14
1010.637,48.6
1012.678,140.98
1015.574,48.658
1016.127,35.26
1017.468,206.56
1018.383,44.44
1019.250,191.03
1020.584,78.24
1021.385,235.8
1022.831,32.91
1022.886,32.91
1023.346,84.9
1028.759,66.8
1028.945,646.82
1029.885,218.6
1031.234,71.36
1035.013,134.589
1037.572,449.2
1039.939,168.28
1042.122,474
1045.337,129.16
1047.183,313.6
1051.202,70.3572
1052.735,75.27
1052.797,75.27
1058.917,27.37
1070.004,61.72
1071.368,160.06
1072.335,73.08
1073.171,303.4
1074.615,123.36
1075.392,363
1077.506,129.74
1083.226,99.86
1083.429,925.8
1084.469,337.2
1085.963,113.82
1087.929,33.3444
1089.868,202.297
1092.643,672
1095.135,255.4
1097.533,723.804
